SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,"Occupation, grassland/pasture/meadow",DD8B6A30-E5BA-45B5-85FC-79796D8B0003,Raw materials,m2a,=,ecoinventEFv3.7,"Occupation, grassland, natural, for livestock grazing",e780232c-898f-4606-8d21-f8589801ebe6,natural resource/land,m2*a,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
SimaPro9.4,"Occupation, lakes, artificial",38AB1814-EEAF-4AC2-8CF9-2503961F0DFB,Raw materials,m2a,=,ecoinventEFv3.7,"Occupation, lake, artificial",69dfa439-8e4e-4cae-bb0c-85a8aa8b9a73,natural resource/land,m2*a,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
SimaPro9.4,"Transformation, from grassland",6C24117D-A116-487B-94BD-5EEAB8937CF9,Raw materials,m2,=,ecoinventEFv3.7,"Transformation, from grassland, natural, for livestock grazing",c12ed8b5-8452-43ca-9986-a814e908e792,natural resource/land,m2,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
SimaPro9.4,"Transformation, from grassland/pasture/meadow",F0A082AA-FFA7-48EE-B2EF-F75C3521FDAE,Raw materials,m2,=,ecoinventEFv3.7,"Transformation, from grassland, natural, for livestock grazing",c12ed8b5-8452-43ca-9986-a814e908e792,natural resource/land,m2,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
SimaPro9.4,"Transformation, to agriculture, mosaic",74045B80-7669-48FF-B15E-D1360B4E802E,Raw materials,m2,=,ecoinventEFv3.7,"Transformation, to heterogeneous, agricultural",fdda4f8e-b620-4df6-92a9-101a251d2f42,natural resource/land,m2,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
SimaPro9.4,"Transformation, to grassland/pasture/meadow",D921D6A8-4059-4CB9-8DDA-3310F916E73C,Raw materials,m2,=,ecoinventEFv3.7,"Transformation, to grassland, natural, for livestock grazing",ce132b7d-ab1c-4df3-9656-8fe37ede77b1,natural resource/land,m2,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
SimaPro9.4,"Transformation, to lakes, artificial",DA5CE7BA-3E90-41A8-87E0-AD11936DE1B9,Raw materials,m2,=,ecoinventEFv3.7,"Transformation, to lake, artificial",84b65d8f-2edd-4ddd-8f68-ca28d1c681b0,natural resource/land,m2,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
SimaPro9.4,"Transformation, to rivers, artificial",51712FC5-68D2-46B5-99AB-8EEC6B989DD5,Raw materials,m2,=,ecoinventEFv3.7,"Transformation, to river, artificial",090e9aa9-a9a9-4878-9634-3ad0ba7fbc91,natural resource/land,m2,Chris Mutel,,2023-01-09T20:48:20.958271+01:00,Automated match. Notebook: Match - Minor land name differences,,,
