SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,"Carbon dioxide, biogenic",E8448B62-30C2-4E5C-86B8-574CDF7BB8C7,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, non-fossil",73ed05cc-9727-4abf-9516-4b5c0fe54a16,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, biogenic",E8448B62-30C2-4E5C-86B8-574CDF7BB8C7,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, non-fossil",d6235194-e4e6-4548-bfa3-ac095131aef4,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, biogenic",E8448B62-30C2-4E5C-86B8-574CDF7BB8C7,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,"Carbon dioxide, non-fossil",28e1e2d6-97ad-4dfd-932a-9edad36dcab9,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, biogenic",E8448B62-30C2-4E5C-86B8-574CDF7BB8C7,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, non-fossil",4e1f0bb0-2703-4303-bf86-972d810612cf,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, biogenic",E8448B62-30C2-4E5C-86B8-574CDF7BB8C7,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, non-fossil",4e1f0bb0-2703-4303-bf86-972d810612cf,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, land transformation",D077CAF5-D385-45FF-99AA-2478AF9371D0,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",e4e9febc-07c1-403d-8d3a-6707bb4d96e6,air/unspecified,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, peat oxidation",FD7284A6-3F39-4CFC-BB68-C9F073FB6093,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",e4e9febc-07c1-403d-8d3a-6707bb4d96e6,air/unspecified,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, land transformation",D077CAF5-D385-45FF-99AA-2478AF9371D0,Emissions to air/indoor,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",5188df39-2bb8-4826-b469-fa9f86bacc09,air/indoor,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, peat oxidation",FD7284A6-3F39-4CFC-BB68-C9F073FB6093,Emissions to air/indoor,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",5188df39-2bb8-4826-b469-fa9f86bacc09,air/indoor,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, land transformation",D077CAF5-D385-45FF-99AA-2478AF9371D0,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",e8787b5e-d927-446d-81a9-f56977bbfeb4,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, peat oxidation",FD7284A6-3F39-4CFC-BB68-C9F073FB6093,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",e8787b5e-d927-446d-81a9-f56977bbfeb4,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, land transformation",D077CAF5-D385-45FF-99AA-2478AF9371D0,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",78eb1859-abd9-44c6-9ce3-f3b5b33d619c,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, peat oxidation",FD7284A6-3F39-4CFC-BB68-C9F073FB6093,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",78eb1859-abd9-44c6-9ce3-f3b5b33d619c,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, land transformation",D077CAF5-D385-45FF-99AA-2478AF9371D0,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",e1c597cc-14cb-4ebb-af07-7a93a5b77d34,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, peat oxidation",FD7284A6-3F39-4CFC-BB68-C9F073FB6093,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",e1c597cc-14cb-4ebb-af07-7a93a5b77d34,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, land transformation",D077CAF5-D385-45FF-99AA-2478AF9371D0,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, land transformation",D077CAF5-D385-45FF-99AA-2478AF9371D0,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, peat oxidation",FD7284A6-3F39-4CFC-BB68-C9F073FB6093,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, peat oxidation",FD7284A6-3F39-4CFC-BB68-C9F073FB6093,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, from soil or biomass stock",6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon monoxide,13931D8F-0BB0-48C4-A852-A5E95389056E,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,"Carbon monoxide, fossil",ba2f3f82-c93a-47a5-822a-37ec97495275,air/unspecified,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon monoxide, fossil",6EBAEB19-29A1-4057-AD5E-F73395B77D7E,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,"Carbon monoxide, fossil",ba2f3f82-c93a-47a5-822a-37ec97495275,air/unspecified,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon monoxide,13931D8F-0BB0-48C4-A852-A5E95389056E,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Carbon monoxide, fossil",6edcc2df-88a3-48e1-83d8-ffc38d31c35b,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon monoxide, fossil",6EBAEB19-29A1-4057-AD5E-F73395B77D7E,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Carbon monoxide, fossil",6edcc2df-88a3-48e1-83d8-ffc38d31c35b,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon monoxide,13931D8F-0BB0-48C4-A852-A5E95389056E,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,"Carbon monoxide, fossil",099b36ab-4c03-4587-87f4-2f81e337afb8,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
