SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Chromium III,448CFFD2-9734-4F23-861D-4A537BC18DB2,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Chromium,e7881581-21b3-4f5c-bd63-6b0684b5e712,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,448CFFD2-9734-4F23-861D-4A537BC18DB2,Emissions to soil/forestry,kg,=,ecoinventEFv3.7,Chromium,591de726-f2c7-43ba-8e22-15fd08acc8dc,soil/forestry,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,448CFFD2-9734-4F23-861D-4A537BC18DB2,Emissions to soil/industrial,kg,=,ecoinventEFv3.7,Chromium,e65a9c58-21f1-48b6-b738-d05a8f10e5f3,soil/industrial,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,448CFFD2-9734-4F23-861D-4A537BC18DB2,"Emissions to soil/urban, non industrial",kg,=,ecoinventEFv3.7,Chromium,e65a9c58-21f1-48b6-b738-d05a8f10e5f3,soil/industrial,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,448CFFD2-9734-4F23-861D-4A537BC18DB2,Emissions to soil/(unspecified),kg,=,ecoinventEFv3.7,Chromium,e0336c9b-a0ff-4ae3-b8bb-ca1e46bbbc11,soil/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Flurochloridone,B0E6801E-D75E-4DDB-AE28-29530A8A57C2,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Fluorochloridone,831f48fc-ca00-4534-9ede-730190b3bee0,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Metaldehyde (tetramer),6BD355D9-97A4-45A9-B191-7F89E03FE7C7,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Metaldehyde,597847df-518f-4bd6-ae50-1de01f2761a4,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Metolachlor, (S)",4A940ADC-5B54-406B-BABB-D2B00ACC62FF,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Metolachlor,d2885a24-b728-4832-8638-15697630eff9,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Nitrate compounds,C6C1BA3E-15A6-48AF-8E43-978A2C18D831,Emissions to soil/(unspecified),kg,=,ecoinventEFv3.7,Nitrate,774c181d-18a7-4096-aa99-56801ef6b909,soil/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.492249+01:00,Automated match. Notebook: Match - Minor random name differences,,,
