Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Chloride, ion",016887-00-6,,,kg,chemical,,,water/unspecified,c4e01cfb-2f50-52d5-8177-1518ad8b7bea,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,water/ground-,6eb5976c-c1e1-4e3e-a362-a46054941573,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,"water/ground-, long-term",ae521be9-6534-4962-9183-3d36c4c74201,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,water/ocean,d9de01f7-815c-4946-b10f-02972805260a,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,water/surface water,85727faa-6607-4834-a34c-45a742a24c29,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,water/unspecified,26202571-16f9-48c3-bf4d-e9c189f43b2c,,,
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",007440-47-3,,,kg,geological,,0.0,natural resource/in ground,ef6dd09f-bddc-49b4-a207-dbaec2f07bb5,,,
"Copper, 1.25% in sulfide, Cu 0.24% and Zn 0,1% in crude ore, in ground",007440-50-8,Cu,,kg,geological,,0.0,natural resource/in ground,01b9f1e8-4423-5393-ba63-2067935bdb13,,,
"Copper, Cu 0.38%, in mixed ore, in ground",007440-50-8,,,kg,geological,,0.0,natural resource/in ground,5afa470c-ab8c-4ec3-8a18-5c0bed973571,,,
"Copper, ion",017493-86-6,,,kg,chemical,,,water/ground-,c3b659e5-35f1-408c-8cb5-b5f9b295c76e,,,
"Copper, ion",017493-86-6,,,kg,chemical,,,"water/ground-, long-term",40229ebf-9346-4f20-910a-f8ea3bd88d44,,,
"Copper, ion",017493-86-6,,,kg,chemical,,,water/ocean,d8f9ccf6-fd32-4348-83c0-1cee724af9ae,,,
"Copper, ion",017493-86-6,,,kg,chemical,,,water/surface water,6d9550e2-e670-44c1-bad8-c0c4975ffca7,,,
"Copper, ion",017493-86-6,,,kg,chemical,,,water/unspecified,615b1460-6860-4cf6-8678-ad92c03c5e8b,,,
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",007440-50-8,,,kg,geological,,0.0,natural resource/in ground,73b7f080-b7ae-417c-b740-b4c9eabfb35a,,,
