Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
Argon-40,007440-37-1,Ar,,kg,chemical,,,natural resource/in air,8b46f615-69c9-4ca3-815e-a7bde116d202,,,13965-95-2; 1290046-39-7; 14163-25-8; 7440-37-1
"Krypton, in air",007439-90-9,,,kg,chemical,,,natural resource/in air,4602b501-1c9b-4af7-bb1c-864c70c3e855,,,
Nitrogen,007727-37-9,N,,kg,chemical,,,natural resource/in air,e3f5fd63-7dcb-41f1-9b8a-a48a8d68bc65,,,7727-37-9
"Xenon, in air",007440-63-3,,,kg,chemical,,,natural resource/in air,c52e8414-f232-4c6a-bff2-5726189789ee,,,
