Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Carbon dioxide, from soil or biomass stock",000124-38-9,CO2,,kg,chemical,,,air/indoor,5188df39-2bb8-4826-b469-fa9f86bacc09,,,
"Carbon monoxide, from soil or biomass stock",000124-38-9,CO2,,kg,chemical,,,air/indoor,05f6e226-0593-46f5-a788-01fa306e66ad,,,
"Methane, from soil or biomass stock",000074-82-8,CH4,,kg,chemical,,,air/indoor,288c4e8a-d371-4bc1-b45b-c4b0cefd400e,,,
