Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
"Gas, natural/m3",008006-14-2,,"Gas, natural/m3",m3,Raw materials,Raw materials,7D275AB8-3937-4907-8EF0-CB44E19EE309,Synonyms: Natural gasHigher heating value (HHV): 38.3 MJ/m3Lower heating value (LHV): 34.5 MJ/m3
"Gas, off-gas, oil production",,,"Gas, off-gas, oil production",m3,Raw materials,Raw materials,C3E1B4A6-CD1C-4B31-AA4A-2260F92BF9BB,Higher heating value (HHV): 39.8 MJ/m3Lower heating value (LHV): 35.8 MJ/m3
"Gas, petroleum, 35 MJ per m3",,,"Gas, petroleum, 35 MJ per m3",m3,Raw materials,Raw materials,D1524FB2-F899-4BF1-972D-02A36FDE48F9,Higher heating value (HHV): 38.9 MJ/m3Lower heating value (LHV): 35 MJ/m3
Gemstones,,,Gemstones,kg,Raw materials,Raw materials,CBB1D570-B50D-47E6-8312-09B0D8AC7647,
"Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore",007440-57-5,"Gold, Silver, Zinc, Copper and Lead in oreAu and Ag, Zn, Cu, Pb","Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore",kg,Raw materials,Raw materials,2748933C-41E9-4ED4-B047-3506E8C050DA,
Graphite,,,Graphite,kg,Raw materials,Raw materials,B29813A4-9EEA-4DA8-8203-CA41A9D9384E,
Hardmaking of forest land,,,Hardmaking of forest land,m2a,Raw materials,Raw materials,992A9A54-4972-4FDB-BB4B-F513C4EE7E1B,
Helium,007440-59-7,He,Helium,kg,Raw materials,Raw materials,36B99C6A-6376-4A60-9F7A-39F74410E701,
Ilmenite,,,Ilmenite,kg,Raw materials,Raw materials,C6A47E53-38F6-4656-8EDC-A7873186C2A4,
Inert rock,,,Inert rock,kg,Raw materials,Raw materials,522812D0-0986-41B0-B15B-889DEE32C368,
Iodine,014362-44-8,I,Iodine,kg,Raw materials,Raw materials,CF812438-7347-42A2-AA5C-B67DB3459802,
Iron ore,,,Iron ore,kg,Raw materials,Raw materials,8CBDC7F7-7D61-467F-868D-06A4833CCDD2,
Krypton,007439-90-9,Kr,Krypton,kg,Raw materials,Raw materials,53E12C94-04EA-469F-938B-92B836BB3763,
Kyanite,,,Kyanite,kg,Raw materials,Raw materials,1CCE939B-A1AD-4DC4-AA42-A8BC0E9E27E8,
Land use II-III,,,Land use II-III,m2a,Raw materials,Raw materials,8DF97FC1-B336-4AC5-B37B-6916B4357380,
Land use II-IV,,,Land use II-IV,m2a,Raw materials,Raw materials,E050C3F5-AA9A-44C1-AB27-CB21142344E2,
Land use III-IV,,,Land use III-IV,m2a,Raw materials,Raw materials,3F2D77A6-9522-4968-BF1B-CA29B35C5C25,
Land use IV-IV,,,Land use IV-IV,m2a,Raw materials,Raw materials,C290BCA5-50B9-43C8-9E3A-E6359A1264D3,
Lead ore,,,Lead ore,kg,Raw materials,Raw materials,8D2A5F5B-CFCA-4EC8-9D1B-842B580C0A56,
"Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore",007439-92-1,Pb,"Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore",kg,Raw materials,Raw materials,352A4350-90F5-4438-8EB3-BC0248BF9CD1,
Limestone,001317-65-3,Ca(CO3),Limestone,kg,Raw materials,Raw materials,C9E452CF-BDD5-4D70-BB15-3D5F4D5FAA86,
Littering,,,Littering,m2,Raw materials,Raw materials,B88AB1A4-7251-4211-9792-9932FDCBE19F,
Lubricant,,,Lubricant,kg,Raw materials,Raw materials,73485D43-1F57-4AB4-9F38-936D07C3ED40,
Manganese ore,,,Manganese ore,kg,Raw materials,Raw materials,B72019D9-33B3-4823-8F1C-D4881038B82D,
Methane,000074-82-8,CH4 Higher heating value (HHV): 55.5 MJ/kgLower heating value (LHV): 50 MJ/kg,Methane,kg,Raw materials,Raw materials,F27471CA-E590-4D5C-8403-5F491F48129A,
Minerals nec. (incl nitrogen and hydrogen),,,Minerals nec. (incl nitrogen and hydrogen),ton,Raw materials,Raw materials,B59BCC06-54EA-4E37-BB69-9EEBB6F1910C,
"Molybdenite (Mo 0,24%)",,,"Molybdenite (Mo 0,24%)",kg,Raw materials,Raw materials,E8D53DBB-7794-47B7-9188-EB38501890C8,
Molybdenum ore,,,Molybdenum ore,kg,Raw materials,Raw materials,61BB585B-6256-45DD-8797-108EE3D2F482,
"Molybdenum, 0.11% in sulfide, Mo 0.41% and Cu 0.36% in crude ore",007439-98-7,Mo,"Molybdenum, 0.11% in sulfide, Mo 0.41% and Cu 0.36% in crude ore",kg,Raw materials,Raw materials,D440452D-99E1-4747-BEB5-26242E123483,
Natural aggregate,,,Natural aggregate,kg,Raw materials,Raw materials,297C628C-5D5E-46FB-A926-E0222DADCF82,
Neon,007440-01-9,Ne,Neon,kg,Raw materials,Raw materials,8FEC84BE-0766-4414-8AFD-877CE31B4215,
Nepheline,,,Nepheline,kg,Raw materials,Raw materials,FDDD5BD0-B95A-459E-97FF-E52B118DAE2E,
Nickel ore,,,Nickel ore,kg,Raw materials,Raw materials,1E1119FA-CF80-4965-B1A3-6B507EE3A961,
"Nickel, 1.13% in sulfides, 0.76% in crude ore",007440-02-0,Ni,"Nickel, 1.13% in sulfides, 0.76% in crude ore",kg,Raw materials,Raw materials,F8EF830F-95BF-4CDE-A2BF-F528D8750F95,
"Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore",007440-02-0,Ni,"Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore",kg,Raw materials,Raw materials,73895ECC-9D76-4279-877F-F4F1C7D38A2F,
"Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore",007440-02-0,Ni,"Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore",kg,Raw materials,Raw materials,189078CD-C8B3-44F3-A827-A2724465FB81,
"Nitrogen, atmospheric",,,"Nitrogen, atmospheric",kg,Raw materials,Raw materials,301B2282-90FB-4601-9E74-3F17905696EF,
"Occupation, agriculture",,,"Occupation, agriculture",m2a,Raw materials,Raw materials,2AE42D5A-D530-4631-A27E-2D3741D86A4F,
"Occupation, agriculture, mosaic",,,"Occupation, agriculture, mosaic",m2a,Raw materials,Raw materials,122B4CDC-0F15-4DB6-8984-7BFF4596076D,
"Occupation, annual crop, conservation tillage",,,"Occupation, annual crop, conservation tillage",m2a,Raw materials,Raw materials,C7B64C26-5C72-4C24-BDF9-C4182305E6E0,
"Occupation, annual crop, conventional tillage",,,"Occupation, annual crop, conventional tillage",m2a,Raw materials,Raw materials,E6576882-75CC-4453-AC05-0E0DE2FA0E97,
"Occupation, annual crop, integrated",,,"Occupation, annual crop, integrated",m2a,Raw materials,Raw materials,90BD256E-C275-469F-897F-E261CF39C563,
"Occupation, annual crop, NA",,Se,"Occupation, annual crop",m2a,Raw materials,Raw materials,8685E4D7-02D2-4B4A-8880-6CC2F5BF6BFA,
"Occupation, annual crop, non-irrigated, diverse-intensive",,"Silver and Gold in ore, in groundAg and Au","Occupation, annual crop, non-irrigated, diverse-intensive",m2a,Raw materials,Raw materials,03DB960C-6F75-47F3-8AED-AC47AEE9AED7,
"Occupation, annual crop, non-irrigated, fallow",,"Silver and Gold in ore, in groundAg","Occupation, annual crop, non-irrigated, fallow",m2a,Raw materials,Raw materials,31447B2B-8486-441A-9312-5E5C5794934E,
"Occupation, annual crop, non-irrigated, monotone-intensive",,"Silver and Gold in ore, in groundAg","Occupation, annual crop, non-irrigated, monotone-intensive",m2a,Raw materials,Raw materials,F43D6C2C-07D9-4A76-8B5D-278662B6A27F,
"Occupation, annual crop, organic",,NaCl,"Occupation, annual crop, organic",m2a,Raw materials,Raw materials,C3776D49-226D-422F-862C-FE3FC9669FA3,
"Occupation, annual crop, reduced tillage",,Tl,"Occupation, annual crop, reduced tillage",m2a,Raw materials,Raw materials,7D599425-700A-4861-BFB1-16D60DA7BD47,
"Occupation, artificial areas",,,"Occupation, artificial areas",m2a,Raw materials,Raw materials,EFB5E74E-D3CB-4EC2-B5C7-AE65D25752D5,
"Occupation, dump site, benthos",,,"Occupation, dump site, benthos",m2a,Raw materials,Raw materials,E01ACE76-FEB6-44C6-98F5-CE195B2AD90F,
"Occupation, dump site, inert material landfill",,,"Occupation, dump site, inert material landfill",m2a,Raw materials,Raw materials,9C0169F9-6375-4168-87AC-DB12522BF678,
"Occupation, dump site, residual material landfill",,,"Occupation, dump site, residual material landfill",m2a,Raw materials,Raw materials,4B42BA46-9AAE-4F41-83D4-38BB21010FE0,
"Occupation, dump site, sanitary landfill",,,"Occupation, dump site, sanitary landfill",m2a,Raw materials,Raw materials,65ECA60F-DE6F-41A0-8AFB-A63F0FFAD11D,
"Occupation, dump site, slag compartment",,,"Occupation, dump site, slag compartment",m2a,Raw materials,Raw materials,E729D7E4-41FA-4070-AA18-F81158B917CD,
"Occupation, forest, extensive, NA",,,"Occupation, forest, extensive",m2a,Raw materials,Raw materials,F05AA321-0602-4187-A7DF-D7F5D499A7A6,NA = Namibia
"Occupation, forest, intensive, clear-cutting",,,"Occupation, forest, intensive, clear-cutting",m2a,Raw materials,Raw materials,4964725B-DA51-4BA9-AF64-6267D345AD84,
"Occupation, forest, intensive, NA",,,"Occupation, forest, intensive",m2a,Raw materials,Raw materials,964510EE-81F2-4E9B-A109-0805DF64122E,NA = Namibia
"Occupation, forest, intensive, normal",,C7H3F13O,"Occupation, forest, intensive, normal",m2a,Raw materials,Raw materials,26A50C8C-2F2C-492C-BDC7-8CCA0C46A382,
"Occupation, forest, intensive, short-cycle",,C17H17N2+,"Occupation, forest, intensive, short-cycle",m2a,Raw materials,Raw materials,2DB5D68E-E558-4E1E-B92D-BCD48F39B460,
"Occupation, forest, natural",,,"Occupation, forest, natural",m2a,Raw materials,Raw materials,3D3656A4-B958-4469-9CEF-9E6D3E63A7A3,
"Occupation, forest, used",,,"Occupation, forest, used",m2a,Raw materials,Raw materials,FDE68040-39F9-48D3-B545-C2A3B3E1EC42,
"Occupation, grassland",,,"Occupation, grassland",m2a,Raw materials,Raw materials,9435CEB9-C8CC-4A44-BF25-530AE390412C,
"Occupation, grassland/pasture/meadow",,,"Occupation, grassland/pasture/meadow",m2a,Raw materials,Raw materials,DD8B6A30-E5BA-45B5-85FC-79796D8B0003,
"Occupation, grassland/pasture/meadow, NA",,,"Occupation, grassland/pasture/meadow",m2a,Raw materials,Raw materials,22E0E42D-764E-41AC-9106-1D14A22B99B8,NA = Namibia
"Occupation, industrial area, benthos",,,"Occupation, industrial area, benthos",m2a,Raw materials,Raw materials,DEF5FE88-AC3E-4ABB-9265-D8D4FA69182C,
"Occupation, industrial area, built up",,,"Occupation, industrial area, built up",m2a,Raw materials,Raw materials,DA850C91-A66A-408C-BB47-4DAE54C64F14,
"Occupation, industrial area, vegetation",,C11H19NOSSynonyms: 2-Octyl-3(2H)-isothiazolone; 2-octyl-3-isothiazolone; Kathon; Microbicide M-8; micro-chek 11; Octhilinone; pancil; RH 893; Skane M-8; skane hq,"Occupation, industrial area, vegetation",m2a,Raw materials,Raw materials,8DE787BD-A3C6-4D6D-9548-4A0514E39F85,
"Occupation, lakes, artificial",,,"Occupation, lakes, artificial",m2a,Raw materials,Raw materials,38AB1814-EEAF-4AC2-8CF9-2503961F0DFB,
"Occupation, pasture, man made, organic",,C9H18O ,"Occupation, pasture, man made, organic",m2a,Raw materials,Raw materials,3B8232D8-6271-40DA-A9B8-A1A48B45F904,
"Occupation, permanent crop, fruit",,,"Occupation, permanent crop, fruit",m2a,Raw materials,Raw materials,CE7DCB85-EEB3-4E73-9D7D-2B0E870A911B,
"Occupation, permanent crop, fruit, extensive",,C12H12 ,"Occupation, permanent crop, fruit, extensive",m2a,Raw materials,Raw materials,901519CD-E692-4E9A-980A-F74858D28546,
"Occupation, permanent crop, fruit, intensive",,,"Occupation, permanent crop, fruit, intensive",m2a,Raw materials,Raw materials,E34B6C9E-9424-4E83-B987-34C403E24184,
"Occupation, permanent crop, NA",,,"Occupation, permanent crop",m2a,Raw materials,Raw materials,869DD9B0-F81B-4CAF-86FD-B915A3027D74,NA = Namibia
"Occupation, permanent crop, vine",,,"Occupation, permanent crop, vine",m2a,Raw materials,Raw materials,05567B36-D575-4535-8C22-C106977A9B3C,
"Occupation, permanent crop, vine, extensive",,,"Occupation, permanent crop, vine, extensive",m2a,Raw materials,Raw materials,BF7978B9-91ED-4482-AB47-3014511452DB,
"Occupation, permanent crop, vine, intensive",,,"Occupation, permanent crop, vine, intensive",m2a,Raw materials,Raw materials,1540A5B7-D2BA-4D4A-98FD-B5615049FF37,
"Occupation, sea and ocean",,,"Occupation, sea and ocean",m2a,Raw materials,Raw materials,EFF1DCF1-A78B-4554-ADB5-667A14AC7BE1,
"Occupation, sealed soil",,,"Occupation, sealed soil",m2a,Raw materials,Raw materials,337018AE-E144-4706-9063-231B3DA0397D,
"Occupation, sparsely vegetated areas, steppe, tundra, badlands",,,"Occupation, sparsely vegetated areas, steppe, tundra, badlands",m2a,Raw materials,Raw materials,56749230-6718-4051-915D-C5B6FF0835B8,
"Occupation, traffic area",,,"Occupation, traffic area",m2a,Raw materials,Raw materials,7E2C9309-354B-41C6-B71E-8052A8596AD8,
"Occupation, traffic area, road embankment",,Chemical C9H18O2 CAS number not available,"Occupation, traffic area, road embankment",m2a,Raw materials,Raw materials,96F4AACB-5BD3-4F4D-866F-D346BF9AC7DB,
